name;shortHand;instructions
Knit;k;Knit one
Purl;p;Purl one
Yarn over;yo;Pass yarn over the right needle.
Cast on;co;Make a slip knot. Slide slip knot onto needle. Pull yarn to tighten knot. Wrap the working yarn around your thumb so you have a loop around your thumb. Bring the needle under and up through the loop around your thumb. Remove your thumb from the loop and pull the yarn.
Bind off;bo;Insert the tip of the left needle into the front of the right-hand st on the right needle. Lift up and over the left-hand st. Allow st on the left needle to drop off the needle, leaving just one stitch on the right needle.
Knit two together;k2tog;With yarn at back, enter your right needle into the first two stitches in your left needle, from left to right, and knit both at the same time.
Purl two together;p2tog;With yarn at front, enter your right needle into the first two stitches in your left needle, from right to left, and purl both at the same time.
Slip slip knit;ssk;Slip first and second sts onto the right needle. Pass to left needle. K1. Pass slipped st over last st.
Slip slip purl;ssp;Slip first and second sts onto the right needle. Pass to left needle. P1. Pass slipped st over last st.
Knit through back loop;ktbl;Insert right needle from right to left in back of st. YO clockwise and pull through.
Purl through back loop;ktbl;Wyif,insert right needle from left to right in back of st. YO counter-clockwise and pull through.
Make one;M1;From the front, pick up strand between two sts and lift to left needle. Insert right needle tfl. Yarn is in front of work. YO and pull through.
Make one purlwise;M1P;From the front, pick up strand between two sts and lift to left needle. Insert right needle tbl. Yarn is in front of work. YO and pull through.
Make bobble;MB;Knit into desired st without dropping the loop off the left needle. Knit same st through back loop, then through front loop.
Nupp;nupp;Loosely *K1, without slipping the stitch off the needle YO*. Repeat from * to * 2 more times. K1. Insert left needle through all 7 sts. YO and pull through.
Knit stitch in row below;k-b;Insert needle into loop below the first stitch on left needle. Wrap yarn around needle counter-clockwise. Pull yarn through towards the front. Drop stitch off left needle.
Purl stitch in row below;p-b;Bring yarn to front and enter loop below next purl stitch from behind. Wrap yarn around needle counter-clockwise. Pull yarn through. Drop resulting stitch off left needle.
Knit front and back;kfb;K1 without slipping to right needle. Insert needle into back loop of same st from right to left. YO, pull yarn through and drop st.
Knit, yarn over, knit;kyok;K1 without dropping st from left needle. YO. K1 into same st.
Purl, yarn over, purl;pyop;P1 without dropping st from left needle. YO. P1 into same st.
Slip, slip, knit, pass;s2kp;Slip 2 sts tog. K1. Pass slipped sts over.
Slip, slip, slip, knit;sssk;Slip 3 sts knitwise. Pass to left needle and K3tog.
Twisted slip, slip, knit;tw-ssk;Slip 1 purlwise. Slip 1 knitwise. Pass 2 slipped sts to left needle and K2tog tbl.
Twisted knit two together;tw-k2tog;Slip 1 purlwise tfl and 1 purlwise tbl. Pass 2 slipped sts to left needle and K2tog.
